TYPE,AREA,PRICE,PURPOSE,LOCATION,BUILD IN YEAR,BEDROOMS,BATHROOMS,PARKING SPACES
House,3150.0,46000000.0,for sale,"Naval Anchorage - Block F, Naval Anchorage, Islamabad, Islamabad Capital",2023,5,5,2
Upper Portion,4500.0,80000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
Upper Portion,3195.0,135000.0,for rent,"I-8, Islamabad, Islamabad Capital",2020,3,3,1
House,4500.0,139000000.0,for sale,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2025,5,6,3
House,2250.0,44000000.0,for sale,"Top City 1 - Block A, Top City 1, Islamabad, Islamabad Capital",2024,4,6,2
House,1125.0,13500000.0,for sale,"Ghauri Town Phase 4A, Ghauri Town, Islamabad, Islamabad Capital",2024,2,3,1
Upper Portion,2700.0,65000.0,for rent,"Bani Gala, Islamabad, Islamabad Capital",2024,4,3,1
House,5850.0,295000.0,for rent,"E-7, Islamabad, Islamabad Capital",2019,3,3,2
Lower Portion,4500.0,300000.0,for rent,"I-8/4, I-8, Islamabad, Islamabad Capital",2023,7,6,3
Flat,1665.0,36500000.0,for sale,"G-11/3, G-11, Islamabad, Islamabad Capital",2025,2,2,1
House,4500.0,500000.0,for rent,"E-11, Islamabad, Islamabad Capital",2025,5,6,5
House,4005.0,650000.0,for rent,"F-6/1, F-6, Islamabad, Islamabad Capital",2024,6,6,2
House,2250.0,49900000.0,for sale,"Bahria Enclave - Sector C1, Bahria Enclave, Bahria Town, Islamabad, Islamabad Capital",2024,5,5,2
House,4500.0,250000000.0,for sale,"F-7/2, F-7, Islamabad, Islamabad Capital",2024,6,6,2
Farm House,180000.0,700000000.0,for sale,"Chak Shahzad Farms, Chak Shahzad, Islamabad, Islamabad Capital",2022,4,4,1
Upper Portion,4500.0,75000.0,for rent,"DHA Defence Phase 2, DHA Defence, Islamabad, Islamabad Capital",2024,3,4,1
House,1125.0,3800000.0,for sale,"G-12, Islamabad, Islamabad Capital",2024,4,2,1
Flat,225.0,3000000.0,for sale,"Top City 1, Islamabad, Islamabad Capital",2024,1,1,5
House,1125.0,17500000.0,for sale,"Faisal Margalla City, B-17, Islamabad, Islamabad Capital",2024,6,4,8
Lower Portion,900.0,52000.0,for rent,"G-13, Islamabad, Islamabad Capital",2024,1,2,1
House,1350.0,29500000.0,for sale,"I-14, Islamabad, Islamabad Capital",2024,5,6,1
House,4500.0,170000000.0,for sale,"D-12, Islamabad, Islamabad Capital",2024,9,6,2
